,Log Loss Value,Accuracy Value,Train-Test Accuracy Difference Value
118,1.2171379868772285,0.6940298507462687,0.02238805970149249
217,1.050806786594273,0.6801705756929638,0.05117270788912576
316,1.039205478967508,0.6915422885572139,0.004975124378109541
415,0.9972237276090843,0.7014925373134329,0.007462686567164201
514,1.1092377709635945,0.7014925373134329,0.0
613,1.0778380703432215,0.6965174129353234,0.01990049751243772
712,1.056567123794231,0.6865671641791045,0.031982942430703654
811,1.0177919985095167,0.6716417910447762,0.05410447761194026
226,1.0574641941435976,0.6840796019900498,-0.004975124378109541
325,1.030330949476476,0.6970149253731344,0.014427860696517358
424,1.047474419383793,0.6958955223880597,0.009328358208955168
523,1.1237779695944756,0.6940298507462687,0.02238805970149249
622,1.099609516515769,0.6977611940298507,0.03358208955223885
721,1.0898075179879259,0.6865671641791045,0.04264392324093813
